Date,Adj Close,Volume,Return,,,,,,,,,,,,,,,,,,,,,
2017-10-23,966.299988,3494100,-0.016898786,,,,,,,,,,,,,,,,,,,,,
2017-10-24,975.900024,2723900,0.00993484,,,,,,,,,,,,,,,,,,,,,
2017-10-25,972.909973,3033100,-0.003063891,,,,,,,,,,,,,,,,,,,,,
2017-10-26,972.429993,5618700,-0.000493345,,,,,,,,,,,,,,,,,,,,,
2017-10-27,1100.949951,16565000,0.132163712,,,,,,,,,,,,,,,,,,,,,
2017-10-30,1110.849976,6613100,0.008992257,,,,,,,,,,,,,,,,,,,,,
2017-10-31,1105.280029,3477000,-0.005014131,,,,,,,,,,,,,,,,,,,,,
2017-11-01,1103.680054,3755500,-0.001447574,,,,,,,,,,,,,,,,,,,,,
2017-11-02,1094.219971,3684900,-0.0085714,,,,,,,,,,,,,,,,,,,,,
2017-11-03,1111.599976,3751500,0.015883465,,,,,,,,,,,,,,,,,,,,,
2017-11-06,1120.660034,3381100,0.008150466,,,,,,,,,,,,,,,,,,,,,
2017-11-07,1123.170044,2689000,0.00223976,,,,,,,,,,,,,,,,,,,,,
2017-11-08,1132.880005,2581500,0.008645139,,,,,,,,,,,,,,,,,,,,,
2017-11-09,1129.130005,3732700,-0.003310148,,,,,,,,,,,,,,,,,,,,,
2017-11-10,1125.349976,2179900,-0.003347736,,,,,,,,,,,,,,,,,,,,,
2017-11-13,1129.170044,2918400,0.00339456,,,,,,,,,,,,,,,,,,,,,
2017-11-14,1136.839966,3138400,0.006792531,,,,,,,,,,,,,,,,,,,,,
2017-11-15,1126.689941,3928700,-0.00892828,,,,,,,,,,,,,,,,,,,,,
2017-11-16,1137.290039,2213300,0.009408177,,,,,,,,,,,,,,,,,,,,,
2017-11-17,1129.880005,2413400,-0.006515518,,,,,,,,,,,,,,,,,,,,,
2017-11-20,1126.310059,2163900,-0.00315958,,,,,,,,,,,,,,,,,,,,,
2017-11-21,1139.48999,2479400,0.011701867,,,,,,,,,,,,,,,,,,,,,
2017-11-22,1156.160034,3555300,0.01462939,,,,,,,,,,,,,,,,,,,,,
2017-11-24,1186,3528000,0.025809546,,,,,,,,,,,,,,,,,,,,,
2017-11-27,1195.829956,6744000,0.008288327,,,,,,,,,,,,,,,,,,,,,
2017-11-28,1193.599976,4559400,-0.001864797,,,,,,,,,,,,,,,,,,,,,
2017-11-29,1161.27002,9257500,-0.02708609,,,,,,,,,,,,,,,,,,,,,
2017-11-30,1176.75,4509200,0.013330216,,,,,,,,,,,,,,,,,,,,,
2017-12-01,1162.349976,4107100,-0.012237114,,,,,,,,,,,,,,,,,,,,,
2017-12-04,1133.949951,5931900,-0.024433282,,,,,,,,,,,,,,,,,,,,,
2017-12-05,1141.569946,4079800,0.006719869,,,,,,,,,,,,,,,,,,,,,
2017-12-06,1152.349976,2853300,0.009443162,,,,,,,,,,,,,,,,,,,,,
2017-12-07,1159.790039,2511600,0.006456427,,,,,,,,,,,,,,,,,,,,,
2017-12-08,1162,3050100,0.001905484,,,,,,,,,,,,,,,,,,,,,
2017-12-11,1168.920044,2363500,0.005955287,,,,,,,,,,,,,,,,,,,,,
2017-12-12,1165.079956,2235900,-0.003285159,,,,,,,,,,,,,,,,,,,,,
2017-12-13,1164.130005,2616800,-0.000815353,,,,,,,,,,,,,,,,,,,,,
2017-12-14,1174.26001,3214300,0.008701782,,,,,,,,,,,,,,,,,,,,,
2017-12-15,1179.140015,4778600,0.004155813,,,,,,,,,,,,,,,,,,,,,
2017-12-18,1190.579956,2947600,0.009701936,,,,,,,,,,,,,,,,,,,,,
2017-12-19,1187.380005,2587800,-0.002687725,,,,,,,,,,,,,,,,,,,,,
2017-12-20,1177.619995,2371200,-0.008219786,,,,,,,,,,,,,,,,,,,,,
2017-12-21,1174.76001,2123100,-0.002428615,,,,,,,,,,,,,,,,,,,,,
2017-12-22,1168.359985,1585100,-0.005447943,,,,,,,,,,,,,,,,,,,,,
2017-12-26,1176.76001,2005200,0.007189586,,,,,,,,,,,,,,,,,,,,,
2017-12-27,1182.26001,1867200,0.00467385,,,,,,,,,,,,,,,,,,,,,
2017-12-28,1186.099976,1841700,0.003247988,,,,,,,,,,,,,,,,,,,,,
2017-12-29,1169.469971,2688400,-0.014020745,,,,,,,,,,,,,,,,,,,,,
2018-01-02,1189.01001,2694500,0.016708457,,,,,,,,,,,,,,,,,,,,,
2018-01-03,1204.199951,3108800,0.012775284,,,,,,,,,,,,,,,,,,,,,
2018-01-04,1209.589966,3022100,0.004476013,,,,,,,,,,,,,,,,,,,,,
2018-01-05,1229.140015,3544700,0.016162542,,,,,,,,,,,,,,,,,,,,,
2018-01-08,1246.869995,4279500,0.014424703,,,,,,,,,,,,,,,,,,,,,
2018-01-09,1252.699951,3661300,0.004675673,,,,,,,,,,,,,,,,,,,,,
2018-01-10,1254.329956,2686000,0.001301193,,,,,,,,,,,,,,,,,,,,,
2018-01-11,1276.680054,3125000,0.017818356,,,,,,,,,,,,,,,,,,,,,
