Week,Date,Close Price,Volume,,,,,,
4,03/22/2018,634.70508,8.91B,,,,,,
3,03/21/2018,642.20538,9.761B,,,,,,
2,03/20/2018,643.67859,8.061B,,,,,,
1,03/19/2018,643.54956,8.15B,,,,,,
5,03/16/2018,640.55188,8.49B,,,,,,
4,03/15/2018,647.55328,8.816B,,,,,,
3,03/14/2018,644.74103,9.901B,,,,,,
2,03/13/2018,646.85889,11.177B,,,,,,
1,2018/12/3,651.96661,14.091B,,,,,,
5,2018/9/3,648.55652,11.37B,,,,,,
4,2018/8/3,643.12415,9.116B,,,,,,
3,2018/7/3,638.1557,10.695B,,,,,,
2,2018/6/3,644.31982,13.876B,,,,,,
1,2018/5/3,632.91071,8.795B,,,,,,
5,2018/2/3,632.98206,9.616B,,,,,,
4,2018/1/3,637.07947,11.02B,,,,,,
3,02/28/2018,635.54602,10.934B,,,,,,
2,02/27/2018,642.36578,12.593B,,,,,,
1,02/26/2018,652.12305,13.788B,,,,,,
5,02/23/2018,642.49243,9.946B,,,,,,
4,02/22/2018,638.2558,10.581B,,,,,,
3,02/14/2018,625.01355,7.108B,,,,,,
2,02/13/2018,620.76215,11.257B,,,,,,
1,2018/12/2,614.78351,11.618B,,,,,,
5,2018/9/2,609.8114,20.635B,,,,,,
4,2018/8/2,634.10522,15.927B,,,,,,
3,2018/7/2,645.9917,20.313B,,,,,,
2,2018/6/2,660.3457,21.491B,,,,,,
1,2018/5/2,679.36328,16.135B,,,,,,
5,2018/2/2,677.83344,14.607B,,,,,,
4,2018/1/2,673.91998,19B,,,,,,
3,01/31/2018,680.08496,14.521B,,,,,,
2,01/30/2018,672.68878,13.903B,,,,,,
1,01/29/2018,678.7016,19.11B,,,,,,
5,01/26/2018,692.79425,17.723B,,,,,,
4,01/25/2018,690.39319,19.537B,,,,,,
3,01/24/2018,689.1499,21.982B,,,,,,
2,01/23/2018,684.2594,20.187B,,,,,,
1,01/22/2018,677.20178,17.464B,,,,,,
5,01/19/2018,669.27924,20.949B,,,,,,
4,01/18/2018,665.57855,17.203B,,,,,,
3,01/17/2018,660.25024,21.431B,,,,,,
2,01/16/2018,660.7713,16.149B,,,,,,
1,01/15/2018,656.19489,17.091B,,,,,,
5,2018/12/1,653.78204,11.135B,,,,,,
4,2018/11/1,647.2124,12.158B,,,,,,
3,2018/10/1,646.51044,15.112B,,,,,,
2,2018/9/1,641.58569,13.903B,,,,,,
1,2018/8/1,640.21173,17.388B,,,,,,
5,2018/5/1,637.66272,14.901B,,,,,,
4,2018/4/1,635.52448,13.454B,,,,,,
3,2018/3/1,632.3858,15.185B,,,,,,
2,2018/2/1,629.47009,14.694B,,,,,,
5,12/29/2017,619.49298,9.049B,,,,,,
4,12/28/2017,615.13104,11.854B,,,,,,
3,12/27/2017,608.71277,10.515B,,,,,,
2,12/26/2017,619.31799,9.112B,,,,,,
1,12/25/2017,617.99139,9.193B,,,,,,
5,12/22/2017,617.57062,7.347B,,,,,,
4,12/21/2017,618.85352,9.684B,,,,,,
3,12/20/2017,613.60889,9.06B,,,,,,
2,12/19/2017,611.26532,7.753B,,,,,,
1,12/18/2017,603.36591,7.785B,,,,,,
5,12/15/2017,603.19653,8.904B,,,,,,
4,12/14/2017,609.66278,8.077B,,,,,,
3,12/13/2017,612.24042,7.755B,,,,,,
2,2017/12/12,606.52985,8.434B,,,,,,
1,2017/11/12,615.60223,9.715B,,,,,,
5,2017/8/12,605.44427,8.928B,,,,,,
4,2017/7/12,600.44714,9.025B,,,,,,
3,2017/6/12,607.3075,10.929B,,,,,,
2,2017/5/12,611.42438,15.409B,,,,,,
1,2017/4/12,607.92297,10.265B,,,,,,
5,2017/1/12,607.15808,9.739B,,,,,,
4,11/30/2017,606.51605,10.798B,,,,,,
3,11/29/2017,613.2016,12.455B,,,,,,
2,11/28/2017,614.66766,10.206B,,,,,,
1,11/27/2017,614.70886,14.346B,,,,,,
5,11/24/2017,623.13312,13.086B,,,,,,
4,11/23/2017,623.133,17.815B,,,,,,
3,11/22/2017,640.26868,18.648B,,,,,,
2,11/21/2017,636.43256,18.035B,,,,,,
1,11/20/2017,624.03363,13.745B,,,,,,
5,11/17/2017,622.72021,19.178B,,,,,,
