"","Actual Price","Forecasted Price"
"78",24698.48,22036.2828714547
"79",24615.131,22036.381853498
"80",24696.131,22036.4819191198
"81",24683.881,22036.5823910745
"82",24476.35,22036.6820008503
"83",24577.91,22036.7812968431
"84",24889.029,22036.8812802305
"85",25015.42,22036.9815071826
"86",25125.551,22037.0811876146
"87",25156.34,22037.1806805488
"88",25371.59,22037.2806094072
"89",25335.939,22037.3806839093
"90",25293.631,22037.4804122019
"91",25136.52,22037.5800288769
"92",25174.869,22037.6799219364
"93",25391.34,22037.7799018774
"94",25403.15,22037.8796626614
"95",25428.5,22037.9793573029
"96",25630.779,22038.0792271595
"97",25639.27,22038.1791487309
"98",25701.631,22038.278931695
"99",25660.65,22038.3786756911
"100",25809.221,22038.4785307772
"101",25924.051,22038.5784165961
"102",25862.99,22038.6782148516
"103",25997.141,22038.7779903261
"104",25974.16,22038.8778362641
"105",26063.061,22038.9777004581
"106",26030.289,22039.0775094202
"107",25708.039,22039.1773052093
"108",25852.1,22039.2771457345
"109",25875.9,22039.3769971243
"110",25565.34,22039.4768137523
"111",25626.49,22039.5766228874
"112",25924.551,22039.6764604733
"113",25843.039,22039.7763045637
"114",25694.58,22039.876126847
"115",25674.529,22039.9759449802
"116",25670.051,22040.0757812603
"117",25871.891,22040.1756214853
"118",25839.99,22040.2754480979
"119",25683.5,22040.3752725176
"120",25965.42,22040.4751085676
"121",25764.58,22040.5749470683
"122",25784.17,22040.674777138
"123",25389.01,22040.774606154
"124",25521.971,22040.8744426807
"125",25465.221,22040.9742807913
"126",25340.85,22041.0741137459
"127",25500.061,22041.1739463051
"128",25877.641,22041.2737837718
"129",26043.641,22041.3736223235
"130",26346.17,22041.4734577881
"131",26389.23,22041.5732932347
"132",26470.58,22041.6731319445
"133",26524.939,22041.7729714546
"134",26672.16,22041.8728091844
"135",26740.211,22041.9726471102
"136",26706.09,22042.0724872611
"137",26846.83,22042.1723280516
"138",26852.051,22042.2721678867
"139",26941.02,22042.3720080378
"140",27131.17,22042.4718497589
"141",26979.391,22042.5716920302
"142",27323.99,22042.6715338666
"143",27540.23,22042.7713760853
"144",27607.381,22042.8712194606
"145",27531.01,22042.9710633372
"146",27562.68,22043.0709071071
"147",27690.359,22043.1707512951
"148",27854.91,22043.2705963791
"149",27757.09,22043.3704419383
"150",27444,22043.4702875977
"151",26883.51,22043.5701336942
"152",27250.23,22043.6699805223
"153",27174.961,22043.7698278123
"154",27409.07,22043.8696753328
"155",27344.221,22043.9695233001
"156",27047.57,22044.0693718955
"157",27154.68,22044.169220946
"158",27401.67,22044.2690703093
"159",27518.6,22044.3689201238
"160",27848.16,22044.4687705013
"161",27863.289,22044.5686213309
"162",27765.01,22044.6684725251
"163",28094.609,22044.7683241724
"164",27970.301,22044.8681763416
"165",27953.16,22044.9680289618
"166",27740.26,22045.0678819791
"167",27741.35,22045.1677354502
"168",27613.76,22045.2675894175
"169",27522.92,22045.3674438353
"170",27668.471,22045.4672986708
"171",27955.131,22045.5671539601
"172",27972.24,22045.6670097292
"173",27894.08,22045.7668659492
"174",27777.199,22045.8667225996
"175",27807.59,22045.9665797038
"176",28159.77,22046.0664372775
"177",28051.41,22046.1662953022
"178",28127.801,22046.2661537656
"179",28110.33,22046.3660126823
"180",27880.529,22046.4658720622
"181",27500.34,22046.5657318934
"182",27513.01,22046.6655921682
"183",27642.43,22046.7654528963
"184",27421.6,22046.8653140835
"185",27554.301,22046.9651757223
"186",28173.211,22047.065037808
"187",28379.18,22047.1649003467
"188",28458.039,22047.264763342
"189",28326.59,22047.3646267891
"190",28490.83,22047.4644906852
"191",28389.57,22047.5643550341
"192",28459.029,22047.664219838
"193",28476.43,22047.7640850938
"194",28692.801,22047.8639507998
"195",28697.49,22047.9638169585
"196",28711.76,22048.0636835712
"197",28159.09,22048.163550636
"198",28487.24,22048.2634181519
"199",28305.881,22048.3632861203
"200",28154.971,22048.4631545421
"201",28302.891,22048.5630234161
"202",28202.381,22048.6628927415
"203",28438.85,22048.7627625195
"204",28336.189,22048.8626327505
"205",28245.539,22048.9625034337
"206",28594.061,22049.0623745687
"207",28518.641,22049.1622461562
"208",28603.609,22049.2621181964
"209",28596.801,22049.3619906889
"210",28994.34,22049.4618636335
"211",28907.6,22049.5617370305
"212",29136.57,22049.6616108801
"213",29120.92,22049.7614851821
"214",29182.18,22049.8613599362
"215",29152.119,22049.9612351427
"216",28851.689,22050.0611108018
