,Actual,Predicted
1819,-0.0012574,0.000615764
1820,-0.0123798,0.000623929
1821,0.0056037,0.000149136
1822,0.0009207,0.000807554
1823,-0.0120019,0.00014966
1824,0.0023919,0.000497489
1825,0.011631,0.00254534
1826,-0.0031442,0.000209334
1827,-0.0057446,0.000807683
1828,-0.0007804,0.001593562
1829,-0.0001744,0.000569843
1830,0.0078629,0.000537573
1831,-0.001233,0.000127983
1832,-0.0060561,-0.000627696
1833,0.0109767,0.000662777
1834,-0.0077349,0.000617171
1835,0.0007603,0.000200348
1836,-0.0153257,-0.000370157
1837,0.0052369,-0.000260991
1838,-0.0022236,0.001379605
1839,-0.004884,-0.001552683
1840,0.0062828,0.001388403
1841,0.014807,0.001304539
1842,0.0064148,-0.000322049
1843,0.0116162,-0.000592132
1844,0.0016344,-0.000329168
1845,0.0030827,-0.000676892
1846,0.0020536,0.000137583
1847,0.0055503,0.000401329
1848,0.0025514,0.000817259
1849,-0.001276,0.000523528
1850,0.00527,0.000644029
1851,0.0001945,0.000486326
1852,0.0033133,0.00077922
1853,0.007058,0.000504401
1854,-0.0055943,0.000414783
1855,0.0127727,0.000469806
1856,0.0079139,0.000407024
1857,0.0024383,0.000249292
1858,-0.0027663,0.001771877
1859,0.0011503,0.00199853
1860,0.0046323,-2.31E-05
1861,0.0059425,0.000737804
1862,-0.0035118,0.000492833
1863,-0.0112796,0.000299709
1864,-0.0204231,0.001330513
1865,0.0136411,0.000567494
1866,-0.0027622,0.00141301
1867,0.0086149,-0.000861485
1868,-0.002366,0.00112102
1869,-0.0108487,0.002144001
1870,0.00396,0.00013681
1871,0.0090957,0.001095315
1872,0.0042672,0.000607077
1873,0.0119759,3.42E-05
1874,0.0005433,0.00047544
1875,-0.0035272,0.000219284
1876,0.011871,0.000276969
1877,-0.0044246,-0.000155686
1878,-0.0006128,0.001476362
1879,-0.0076163,-0.000121434
1880,3.93E-05,0.001120543
1881,-0.0045993,0.000279585
1882,-0.0032897,-0.000862557
1883,0.0052883,0.000268742
1884,0.0103605,0.000168853
1885,0.000612,-0.000177805
1886,-0.0027942,-0.000495867
1887,-0.0041902,0.00092305
1888,0.0010941,0.000688788
1889,0.0126649,0.000225752
1890,-0.003848,0.00017889
1891,0.0027232,-0.000603602
1892,-0.0006211,-0.000264781
1893,-0.008175,0.000828829
1894,-0.0136364,-0.00031938
1895,0.0004607,0.001479654
1896,0.004704,0.000627495
1897,-0.0079888,1.70E-05
1898,0.0048393,-0.001477404
1899,0.0224615,0.001331282
1900,0.0073108,0.000318655
1901,0.0027788,0.000831107
1902,-0.0046191,0.000303169
1903,0.0057981,-0.000142189
1904,-0.0035541,0.000166707
1905,0.0024466,0.000622305
1906,0.0006114,0.000464234
1907,0.0075983,0.00049571
1908,0.0001634,0.000910077
1909,0.0004972,4.49E-05
1910,-0.0192489,0.000447783
1911,0.0116534,0.000399949
1912,-0.0063663,0.00026393
