Date,Date2,DateID,Month,Year,Close,SMA,CCI,ROC,RSI
1994/2/28,1994.2,39 ,2.00 ,1994.00 ,10410.20 ,9986.02 ,53.72 ,63.89 ,66.07 
1994/3/31,1994.3,40 ,3.00 ,1994.00 ,9029.90 ,10211.63 ,-53.51 ,41.34 ,49.61 
1994/4/29,1994.4,41 ,4.00 ,1994.00 ,8966.10 ,10151.13 ,-68.90 ,31.27 ,48.94 
1994/5/31,1994.5,42 ,5.00 ,1994.00 ,9553.60 ,10222.53 ,-70.98 ,29.59 ,55.62 
1994/6/30,1994.6,43 ,6.00 ,1994.00 ,8758.40 ,9700.87 ,-67.99 ,23.37 ,45.87 
1994/7/29,1994.7,44 ,7.00 ,1994.00 ,9482.80 ,9366.83 ,-47.55 ,35.68 ,54.57 
1994/8/31,1994.8,45 ,8.00 ,1994.00 ,9929.40 ,9286.70 ,170.13 ,31.52 ,59.40 
1994/9/30,1994.9,46 ,9.00 ,1994.00 ,9521.20 ,9368.58 ,112.98 ,24.04 ,53.20 
1994/10/31,1994.10,47 ,10.00 ,1994.00 ,9646.30 ,9481.95 ,32.42 ,3.40 ,54.93 
1994/11/30,1994.11,48 ,11.00 ,1994.00 ,8466.30 ,9300.73 ,-90.58 ,-7.22 ,38.72 
1994/12/30,1994.12,49 ,12.00 ,1994.00 ,8191.00 ,9206.17 ,-145.09 ,-31.10 ,35.77 
1995/1/30,1995.1,50 ,1.00 ,1995.00 ,7342.70 ,8841.88 ,-127.91 ,-36.48 ,27.57 
1995/2/28,1995.2,51 ,2.00 ,1995.00 ,8327.50 ,8582.50 ,-54.13 ,-20.01 ,44.81 
1995/3/31,1995.3,52 ,3.00 ,1995.00 ,8587.70 ,8426.92 ,5.70 ,-4.90 ,48.64 
1995/4/28,1995.4,53 ,4.00 ,1995.00 ,8361.00 ,8212.70 ,37.30 ,-6.75 ,45.35 
1995/5/31,1995.5,54 ,5.00 ,1995.00 ,9407.40 ,8369.55 ,133.06 ,-1.53 ,60.23 
1995/6/30,1995.6,55 ,6.00 ,1995.00 ,9206.50 ,8538.80 ,123.05 ,5.12 ,56.67 
1995/7/31,1995.7,56 ,7.00 ,1995.00 ,9453.40 ,8890.58 ,95.52 ,-0.31 ,60.14 
1995/8/31,1995.8,57 ,8.00 ,1995.00 ,9179.90 ,9032.65 ,33.71 ,-7.55 ,54.36 
1995/9/29,1995.9,58 ,9.00 ,1995.00 ,9646.30 ,9209.08 ,89.18 ,1.31 ,61.86 
1995/10/31,1995.10,59 ,10.00 ,1995.00 ,9782.40 ,9445.98 ,129.29 ,1.41 ,63.94 
1995/11/30,1995.11,60 ,11.00 ,1995.00 ,9813.30 ,9513.63 ,59.15 ,15.91 ,64.47 
1995/12/29,1995.12,61 ,12.00 ,1995.00 ,10073.40 ,9658.12 ,107.08 ,22.98 ,69.04 
1996/1/31,1996.1,62 ,1.00 ,1996.00 ,11359.70 ,9975.83 ,184.61 ,54.71 ,82.44 
1996/2/29,1996.2,63 ,2.00 ,1996.00 ,11125.70 ,10378.35 ,126.22 ,39.24 ,83.97 
1996/3/29,1996.3,64 ,3.00 ,1996.00 ,10957.20 ,10518.62 ,50.81 ,27.59 ,70.09 
1996/4/30,1996.4,65 ,4.00 ,1996.00 ,10964.50 ,10715.63 ,44.04 ,31.14 ,70.20 
1996/5/31,1996.5,66 ,5.00 ,1996.00 ,11264.70 ,10957.53 ,41.83 ,19.74 ,74.69 
1996/6/28,1996.6,67 ,6.00 ,1996.00 ,11020.90 ,11115.45 ,6.71 ,19.71 ,65.13 
1996/7/31,1996.7,68 ,7.00 ,1996.00 ,10681.40 ,11002.40 ,-113.78 ,12.99 ,53.64 
1996/8/30,1996.8,69 ,8.00 ,1996.00 ,11159.00 ,11007.95 ,116.90 ,21.56 ,64.28 
1996/9/30,1996.9,70 ,9.00 ,1996.00 ,11902.40 ,11141.65 ,179.58 ,21.91 ,73.46 
1996/10/31,1996.10,71 ,10.00 ,1996.00 ,12477.60 ,11417.67 ,157.72 ,27.55 ,80.44 
1996/11/29,1996.11,72 ,11.00 ,1996.00 ,13393.90 ,11772.53 ,141.14 ,36.49 ,86.19 
1996/12/31,1996.12,73 ,12.00 ,1996.00 ,13451.50 ,12177.63 ,91.05 ,33.53 ,86.49 
1997/1/31,1997.1,74 ,1.00 ,1997.00 ,13321.80 ,12617.70 ,80.28 ,17.27 ,81.70 
1997/2/28,1997.2,75 ,2.00 ,1997.00 ,13398.70 ,12990.98 ,57.63 ,20.43 ,82.39 
1997/3/27,1997.3,76 ,3.00 ,1997.00 ,12534.30 ,13096.30 ,-51.10 ,14.39 ,54.52 
1997/4/30,1997.4,77 ,4.00 ,1997.00 ,12903.30 ,13167.25 ,-126.20 ,17.68 ,61.24 
1997/5/30,1997.5,78 ,5.00 ,1997.00 ,14757.80 ,13394.57 ,144.61 ,31.01 ,79.50 
1997/6/27,1997.6,79 ,6.00 ,1997.00 ,15196.80 ,13685.45 ,135.46 ,37.89 ,81.92 
1997/7/31,1997.7,80 ,7.00 ,1997.00 ,16365.70 ,14192.77 ,126.58 ,53.22 ,86.87 
