Year,Date,Close Price,IV20,IV60,PoR,Lag1,Lag2,Lag3,Lag4,Lag5,Direction
2017,2017/12/8,2651.5,6.77,5.44,0.0055,0.0026,-0.0005,0.0001,0.007,0.0239,1
2017,2017/12/11,2659.99,6.75,5.43,0.0032,-0.0023,-0.0049,-0.0044,-0.0045,-0.0115,1
2017,2017/12/12,2664.11,6.75,5.04,0.0015,-0.0017,0.0007,0.0055,0.0099,0.0144,1
2017,2017/12/13,2662.85,6.64,5.03,-0.0005,-0.002,-0.0004,-0.001,-0.0065,-0.0165,0
2017,2017/12/14,2652.01,6.45,5.13,-0.0041,-0.0036,-0.0016,-0.0012,-0.0002,0.0064,0
2017,2017/12/15,2675.81,6.56,5.37,0.009,0.013,0.0166,0.0182,0.0194,0.0196,1
2017,2017/12/18,2690.16,6.47,5.45,0.0054,-0.0036,-0.0167,-0.0333,-0.0515,-0.0709,1
2017,2017/12/19,2681.47,6.74,5.51,-0.0032,-0.0086,-0.005,0.0117,0.045,0.0965,0
2017,2017/12/20,2679.25,6.57,5.53,-0.0008,0.0024,0.011,0.016,0.0043,-0.0407,0
2017,2017/12/21,2684.57,6.52,5.53,0.002,0.0028,0.0004,-0.0106,-0.0266,-0.0309,1
2017,2017/12/22,2683.34,6.4,5.48,-0.0005,-0.0024,-0.0053,-0.0057,0.0049,0.0315,0
2017,2017/12/26,2680.5,6.59,5.5,-0.0011,-0.0006,0.0018,0.0071,0.0128,0.0079,0
2017,2017/12/27,2682.62,5.82,5.49,0.0008,0.0018,0.0024,0.0006,-0.0065,-0.0193,1
2017,2017/12/28,2687.54,5.8,5.46,0.0018,0.001,-0.0008,-0.0033,-0.0039,0.0026,1
2017,2017/12/29,2673.61,5.6,5.61,-0.0052,-0.007,-0.0081,-0.0073,-0.004,-0.0001,0
2018,2018/1/2,2695.81,6.15,5.78,0.0083,0.0135,0.0205,0.0286,0.0358,0.0398,1
2018,2018/1/3,2713.06,6.38,5.86,0.0064,-0.0019,-0.0154,-0.0359,-0.0645,-0.1003,1
2018,2018/1/4,2723.99,6.15,5.88,0.004,-0.0024,-0.0005,0.0149,0.0508,0.1153,1
2018,2018/1/5,2743.15,6.37,6.01,0.007,0.003,0.0054,0.0058,-0.0091,-0.0599,1
2018,2018/1/8,2747.71,6.37,5.98,0.0017,-0.0054,-0.0084,-0.0138,-0.0196,-0.0105,1
2018,2018/1/9,2751.29,6.24,5.98,0.0013,-0.0004,0.005,0.0134,0.0271,0.0467,1
2018,2018/1/10,2748.23,6.3,6,-0.0011,-0.0024,-0.0021,-0.0071,-0.0205,-0.0476,0
2018,2018/1/11,2767.56,6.58,6.11,0.007,0.0081,0.0106,0.0126,0.0197,0.0401,1
2018,2018/1/12,2786.24,6.73,6.21,0.0067,-0.0003,-0.0084,-0.019,-0.0316,-0.0513,1
2018,2018/1/16,2776.42,6.36,6.3,-0.0035,-0.0103,-0.01,-0.0016,0.0174,0.049,0
2018,2018/1/17,2802.56,6.81,6.41,0.0094,0.0129,0.0232,0.0332,0.0348,0.0173,1
2018,2018/1/18,2798.03,6.66,6.45,-0.0016,-0.011,-0.024,-0.0472,-0.0804,-0.1152,0
2018,2018/1/19,2810.3,6.59,6.34,0.0044,0.006,0.017,0.041,0.0882,0.1686,1
2018,2018/1/22,2832.97,6.88,6.48,0.0081,0.0037,-0.0023,-0.0194,-0.0604,-0.1485,1
2018,2018/1/23,2839.13,6.77,6.34,0.0022,-0.0059,-0.0096,-0.0073,0.0121,0.0725,1
2018,2018/1/24,2837.54,6.71,6.28,-0.0006,-0.0027,0.0032,0.0127,0.02,0.0079,0
2018,2018/1/25,2839.25,6.61,6.28,0.0006,0.0012,0.0039,0.0007,-0.012,-0.032,1
2018,2018/1/26,2872.87,7.26,6.62,0.0118,0.0112,0.0101,0.0062,0.0054,0.0174,1
2018,2018/1/29,2853.53,8.1,6.85,-0.0067,-0.0186,-0.0298,-0.0399,-0.0461,-0.0515,0
2018,2018/1/30,2822.43,9.06,7.33,-0.0109,-0.0042,0.0144,0.0442,0.0841,0.1302,0
2018,2018/1/31,2823.81,8.85,7.33,0.0005,0.0114,0.0156,0.0011,-0.0431,-0.1272,1
2018,2018/2/1,2821.98,8.77,7.34,-0.0006,-0.0011,-0.0125,-0.0281,-0.0292,0.0138,0
2018,2018/2/2,2762.13,12.01,8.75,-0.0212,-0.0206,-0.0194,-0.0069,0.0212,0.0504,0
2018,2018/2/5,2648.94,19.01,12.46,-0.041,-0.0198,0.0008,0.0202,0.0271,0.0059,0
2018,2018/2/6,2695.14,20.15,12.94,0.0174,0.0584,0.0782,0.0774,0.0572,0.0301,1
2018,2018/2/7,2681.66,20.18,12.99,-0.005,-0.0224,-0.0809,-0.1591,-0.2365,-0.2936,0
2018,2018/2/8,2581,24.04,15.29,-0.0375,-0.0325,-0.0101,0.0708,0.2298,0.4663,0
2018,2018/2/9,2619.55,24.63,15.55,0.0149,0.0525,0.085,0.0951,0.0243,-0.2055,1
2018,2018/2/12,2656,25.11,15.71,0.0139,-0.001,-0.0535,-0.1385,-0.2336,-0.2579,1
2018,2018/2/13,2662.94,24.53,15.71,0.0026,-0.0113,-0.0103,0.0432,0.1817,0.4153,1
2018,2018/2/14,2698.63,25.1,15.93,0.0134,0.0108,0.0221,0.0324,-0.0108,-0.1926,1
2018,2018/2/22,2703.96,24.81,15.88,0.002,-0.0114,-0.0222,-0.0443,-0.0767,-0.0658,1
2018,2018/2/23,2747.3,25.55,16.19,0.016,0.0141,0.0255,0.0477,0.092,0.1687,1
2018,2018/2/26,2779.6,25.86,16.2,0.0118,-0.0043,-0.0183,-0.0438,-0.0915,-0.1835,1
2018,2018/2/27,2744.28,26,16.45,-0.0127,-0.0245,-0.0202,-0.0019,0.0419,0.1334,0
2018,2018/2/28,2713.83,26.16,16.63,-0.0111,0.0016,0.0261,0.0463,0.0481,0.0062,0
2018,2018/3/1,2677.67,26.44,16.77,-0.0133,-0.0022,-0.0038,-0.0299,-0.0762,-0.1243,0
2018,2018/3/2,2691.25,26.55,16.8,0.0051,0.0184,0.0206,0.0245,0.0544,0.1306,1
2018,2018/3/5,2720.94,26.5,16.87,0.011,0.006,-0.0124,-0.0331,-0.0575,-0.1119,1
2018,2018/3/6,2728.12,26.52,16.86,0.0026,-0.0084,-0.0144,-0.0019,0.0311,0.0887,1
2018,2018/3/7,2726.8,26.33,16.86,-0.0005,-0.0031,0.0053,0.0196,0.0215,-0.0096,0
2018,2018/3/8,2738.97,26.4,16.86,0.0045,0.0049,0.0081,0.0028,-0.0168,-0.0384,1
2018,2018/3/9,2786.57,27.19,17.2,0.0174,0.0129,0.008,-0.0001,-0.0029,0.0139,1
2018,2018/3/12,2783.02,26.13,17.2,-0.0013,-0.0187,-0.0316,-0.0395,-0.0394,-0.0365,0
2018,2018/3/13,2765.31,21.42,17.24,-0.0064,-0.0051,0.0136,0.0451,0.0847,0.1241,0
2018,2018/3/14,2749.48,20.83,17.28,-0.0057,0.0006,0.0057,-0.0078,-0.053,-0.1376,0
2018,2018/3/15,2747.33,20.73,17.28,-0.0008,0.0049,0.0043,-0.0014,0.0064,0.0594,0
2018,2018/3/16,2752.01,15.05,17.28,0.0017,0.0025,-0.0025,-0.0068,-0.0053,-0.0117,1
2018,2018/3/19,2712.92,15.54,17.52,-0.0142,-0.0159,-0.0184,-0.0159,-0.0092,-0.0038,0
2018,2018/3/20,2716.94,14.9,17.43,0.0015,0.0157,0.0316,0.05,0.0659,0.0751,1
2018,2018/3/21,2711.93,14.92,17.41,-0.0018,-0.0033,-0.019,-0.0506,-0.1006,-0.1665,0
2018,2018/3/22,2643.69,16.75,18.18,-0.0252,-0.0233,-0.02,-0.001,0.0496,0.1502,0
2018,2018/3/23,2588.26,18.11,18.68,-0.021,0.0042,0.0275,0.0475,0.0485,-0.0011,0
2018,2018/3/26,2658.55,19.78,19.51,0.0272,0.0481,0.0439,0.0164,-0.0311,-0.0796,1
2018,2018/3/27,2612.62,19.89,19.83,-0.0173,-0.0444,-0.0926,-0.1365,-0.1529,-0.1218,0
2018,2018/3/28,2605,19.57,19.67,-0.0029,0.0144,0.0588,0.1514,0.2878,0.4407,0
2018,2018/3/29,2640.87,20.06,19.88,0.0138,0.0167,0.0023,-0.0565,-0.2078,-0.4957,1
2018,2018/4/2,2581.88,21.38,20.56,-0.0223,-0.0361,-0.0528,-0.0551,0.0013,0.2092,0
2018,2018/4/3,2614.45,21.51,20.72,0.0126,0.035,0.0711,0.1239,0.179,0.1776,1
2018,2018/4/4,2644.69,21.98,20.78,0.0116,-0.001,-0.036,-0.1071,-0.2309,-0.4099,1
2018,2018/4/9,2613.16,22.05,20.75,-0.0119,-0.0235,-0.0224,0.0136,0.1206,0.3515,0
2018,2018/4/10,2656.87,22.87,21.03,0.0167,0.0286,0.0521,0.0746,0.061,-0.0596,1
2018,2018/4/11,2642.19,21.91,21,-0.0055,-0.0223,-0.0509,-0.103,-0.1776,-0.2386,0
2018,2018/4/12,2663.99,22.2,21.07,0.0083,0.0138,0.036,0.0869,0.19,0.3676,1
2018,2018/4/13,2656.3,22.14,21.07,-0.0029,-0.0111,-0.0249,-0.0609,-0.1479,-0.3378,0
2018,2018/4/16,2677.84,22.31,21.14,0.0081,0.011,0.0221,0.047,0.108,0.2559,1
2018,2018/4/17,2706.39,22.65,21.21,0.0107,0.0026,-0.0084,-0.0306,-0.0776,-0.1856,1
2018,2018/4/18,2708.64,22.64,21.16,0.0008,-0.0098,-0.0124,-0.0039,0.0266,0.1043,1
2018,2018/4/19,2693.13,22.13,21.01,-0.0057,-0.0066,0.0033,0.0157,0.0196,-0.007,0
2018,2018/4/20,2670.14,22.35,21.07,-0.0085,-0.0028,0.0037,0.0005,-0.0152,-0.0348,0
2018,2018/4/23,2670.29,22.34,20.97,0.0001,0.0086,0.0114,0.0077,0.0072,0.0224,1
2018,2018/4/24,2634.56,20.89,21.14,-0.0134,-0.0134,-0.022,-0.0334,-0.0411,-0.0483,0
2018,2018/4/25,2639.4,19.26,21.12,0.0018,0.0152,0.0287,0.0507,0.0841,0.1252,1
2018,2018/4/26,2666.94,17.21,21.16,0.0104,0.0086,-0.0066,-0.0353,-0.086,-0.1701,1
2018,2018/4/27,2669.91,15.8,21.16,0.0011,-0.0093,-0.0179,-0.0113,0.024,0.1099,1
2018,2018/5/2,2635.67,16.05,21.2,-0.0128,-0.0139,-0.0046,0.0133,0.0246,0.0006,0
2018,2018/5/3,2629.73,15.45,21.2,-0.0023,0.0106,0.0245,0.0291,0.0158,-0.0088,0
2018,2018/5/4,2663.42,15.61,21.22,0.0128,0.0151,0.0045,-0.02,-0.0491,-0.065,1
2018,2018/5/7,2672.63,12.97,21.21,0.0035,-0.0094,-0.0244,-0.0289,-0.0089,0.0402,1
2018,2018/5/8,2671.92,12.49,21.1,-0.0003,-0.0037,0.0056,0.03,0.059,0.0679,0
2018,2018/5/9,2697.79,12.33,21.2,0.0097,0.0099,0.0137,0.008,-0.022,-0.081,1
2018,2018/5/10,2723.07,12.59,21.3,0.0094,-0.0003,-0.0103,-0.0239,-0.032,-0.01,1
2018,2018/5/11,2727.72,11.46,20.84,0.0017,-0.0077,-0.0074,0.0029,0.0268,0.0588,1
